"Min,Max,Modal Price from Karnataka[Soyabean] from 01-Jan-2008To31-Dec-2008 (Total-854) (Total-854)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Data
73,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,2080,2143,2100,2-May-08
253,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,2-May-08
442,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2000,2100,2000,2-May-08
252,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,3-May-08
251,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,5-May-08
250,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,6-May-08
441,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2000,2030,2020,6-May-08
249,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,7-May-08
72,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,2050,2156,2110,9-May-08
248,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,9-May-08
601,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,0,2100,2100,9-May-08
783,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,2210,2210,2210,9-May-08
440,Bidar,Basava Kalayana,Soyabean,Other,FAQ,1900,2100,2000,10-May-08
247,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,12-May-08
752,Belgaum,Nippani,Soyabean,Soyabeen,Medium,1800,2400,2240,12-May-08
782,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,2150,2150,2150,12-May-08
246,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,13-May-08
439,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2060,2060,2060,13-May-08
836,Haveri,Savanur,Soyabean,Other,Medium,1970,1970,1970,13-May-08
245,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,14-May-08
438,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2100,2205,2100,14-May-08
696,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2210,2230,2220,14-May-08
835,Haveri,Savanur,Soyabean,Other,FAQ,2000,2009,2004,14-May-08
244,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,15-May-08
243,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,16-May-08
781,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,2300,2300,2300,16-May-08
242,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,17-May-08
437,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2100,2100,2100,17-May-08
780,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,2250,2250,2250,17-May-08
241,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,19-May-08
834,Haveri,Savanur,Soyabean,Other,FAQ,2040,2189,2079,19-May-08
240,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,20-May-08
436,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2100,2100,2100,20-May-08
779,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,2300,2300,2300,20-May-08
239,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,21-May-08
695,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2280,2311,2290,21-May-08
778,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,2200,2200,2200,21-May-08
238,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,22-May-08
237,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,23-May-08
236,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,24-May-08
600,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,2100,2151,2151,24-May-08
235,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,26-May-08
234,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,27-May-08
233,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,28-May-08
694,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2330,2360,2350,28-May-08
232,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,29-May-08
435,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2201,2201,2201,29-May-08
231,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,31-May-08
434,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2201,2201,2201,31-May-08
599,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,2257,2261,2261,31-May-08
230,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,2-Jun-08
433,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2400,2401,2400,2-Jun-08
229,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,3-Jun-08
228,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,4-Jun-08
432,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2300,2700,2450,4-Jun-08
693,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2400,2434,2410,4-Jun-08
227,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,5-Jun-08
833,Haveri,Savanur,Soyabean,Other,FAQ,2181,2181,2181,5-Jun-08
226,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,6-Jun-08
431,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2400,2400,2400,6-Jun-08
225,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,7-Jun-08
430,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2350,2600,2350,7-Jun-08
224,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,9-Jun-08
429,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2200,2701,2400,9-Jun-08
832,Haveri,Savanur,Soyabean,Other,FAQ,2049,2049,2049,9-Jun-08
223,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,10-Jun-08
428,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2000,2500,2200,10-Jun-08
222,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,11-Jun-08
221,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,12-Jun-08
427,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2050,2390,2250,12-Jun-08
692,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2410,2430,2420,12-Jun-08
71,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,2380,2496,2400,13-Jun-08
220,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,13-Jun-08
426,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2300,2400,2300,13-Jun-08
777,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,2400,2400,2400,13-Jun-08
219,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,16-Jun-08
218,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,17-Jun-08
831,Haveri,Savanur,Soyabean,Other,FAQ,2449,2449,2449,17-Jun-08
217,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,18-Jun-08
691,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2460,2482,2470,18-Jun-08
216,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,19-Jun-08
690,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2700,2720,2710,19-Jun-08
70,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,2580,2681,2600,20-Jun-08
215,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,20-Jun-08
425,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2501,2850,2600,20-Jun-08
214,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,21-Jun-08
424,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2080,2800,2500,21-Jun-08
213,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,23-Jun-08
423,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2500,2650,2550,23-Jun-08
598,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,2575,2575,2575,23-Jun-08
830,Haveri,Savanur,Soyabean,Other,FAQ,2651,2651,2651,23-Jun-08
212,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,24-Jun-08
422,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2680,2860,2820,24-Jun-08
211,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,25-Jun-08
421,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2501,2750,2655,25-Jun-08
689,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2620,2650,2640,25-Jun-08
210,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,26-Jun-08
420,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2600,2750,2650,26-Jun-08
688,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2710,2725,2720,26-Jun-08
69,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,2600,2691,2660,27-Jun-08
209,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,27-Jun-08
419,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2700,2800,2750,27-Jun-08
208,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,28-Jun-08
418,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2800,2800,2800,28-Jun-08
751,Belgaum,Nippani,Soyabean,Soyabeen,FAQ,1600,2600,2278,28-Jun-08
207,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,30-Jun-08
417,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2550,2700,2650,30-Jun-08
206,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,1-Jul-08
416,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2700,2800,2750,1-Jul-08
750,Belgaum,Nippani,Soyabean,Soyabeen,FAQ,2600,3200,3000,1-Jul-08
205,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,2-Jul-08
687,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2690,2705,2695,2-Jul-08
204,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,3-Jul-08
68,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,2650,2730,2690,4-Jul-08
203,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,4-Jul-08
415,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2600,2740,2722,4-Jul-08
202,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,5-Jul-08
414,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2650,2730,2720,5-Jul-08
201,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,7-Jul-08
413,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2700,2850,2750,7-Jul-08
597,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,2669,2669,2669,7-Jul-08
200,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,8-Jul-08
412,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2700,2900,2800,8-Jul-08
199,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,9-Jul-08
198,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,10-Jul-08
411,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2700,2750,2730,10-Jul-08
67,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,2700,2785,2750,11-Jul-08
197,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,11-Jul-08
686,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2720,2746,2730,11-Jul-08
410,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2700,2700,2700,12-Jul-08
596,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,2601,2681,2681,12-Jul-08
196,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,14-Jul-08
409,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2600,2701,2600,14-Jul-08
195,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,15-Jul-08
408,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2700,2801,2750,15-Jul-08
194,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,16-Jul-08
407,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2701,2981,2701,16-Jul-08
685,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2720,2739,2730,16-Jul-08
193,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,17-Jul-08
406,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2700,2750,2730,17-Jul-08
66,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,2480,2540,2500,18-Jul-08
192,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,18-Jul-08
405,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2750,2750,2750,18-Jul-08
191,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,19-Jul-08
190,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,21-Jul-08
404,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2200,2750,2700,21-Jul-08
776,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,2780,2780,2780,21-Jul-08
189,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,22-Jul-08
403,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2700,2770,2750,22-Jul-08
188,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,23-Jul-08
402,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2500,2760,2750,23-Jul-08
684,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2750,2766,2760,23-Jul-08
187,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,24-Jul-08
683,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2750,2770,2760,24-Jul-08
65,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,2700,2795,2716,25-Jul-08
186,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,25-Jul-08
401,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2471,2850,2700,25-Jul-08
775,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,2700,2700,2700,25-Jul-08
185,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,26-Jul-08
400,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2625,2650,2625,26-Jul-08
829,Haveri,Savanur,Soyabean,Other,FAQ,2485,2485,2485,26-Jul-08
184,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,28-Jul-08
399,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2600,2670,2600,28-Jul-08
183,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,29-Jul-08
398,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2000,2700,2650,29-Jul-08
595,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,2579,2579,2579,29-Jul-08
182,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,30-Jul-08
397,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2350,2650,2590,30-Jul-08
682,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2740,2755,2750,30-Jul-08
181,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,31-Jul-08
64,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,2600,2700,2636,1-Aug-08
180,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,1-Aug-08
774,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,2630,2700,2680,1-Aug-08
179,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,2-Aug-08
773,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,2700,2700,2700,2-Aug-08
178,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,4-Aug-08
594,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,2109,2419,2419,4-Aug-08
177,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,5-Aug-08
396,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2525,2590,2550,5-Aug-08
176,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,6-Aug-08
681,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2610,2622,2620,6-Aug-08
175,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,7-Aug-08
63,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,2450,2590,2500,8-Aug-08
174,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,8-Aug-08
557,Dharwad,Dharwar,Soyabean,Other,FAQ,2730,2730,2730,8-Aug-08
743,Mysore,Mysore (Bandipalya),Soyabean,Other,FAQ,3175,3175,3175,8-Aug-08
772,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,2500,2500,2500,8-Aug-08
173,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,11-Aug-08
172,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,12-Aug-08
395,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2299,2400,2350,12-Aug-08
556,Dharwad,Dharwar,Soyabean,Other,FAQ,2470,2680,2600,12-Aug-08
171,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,13-Aug-08
394,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2350,2450,2400,13-Aug-08
680,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2540,2560,2550,13-Aug-08
170,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,14-Aug-08
393,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2350,2450,2400,14-Aug-08
169,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,16-Aug-08
593,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,2329,2329,2329,16-Aug-08
168,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,18-Aug-08
167,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,19-Aug-08
392,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2400,2480,2450,19-Aug-08
166,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,20-Aug-08
391,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2000,2400,2350,20-Aug-08
679,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2550,2570,2560,20-Aug-08
165,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,21-Aug-08
390,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2400,2440,2400,21-Aug-08
727,Belgaum,Kudchi,Soyabean,Other,FAQ,1400,1600,1500,21-Aug-08
828,Haveri,Savanur,Soyabean,Other,FAQ,1801,2421,2111,21-Aug-08
164,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,22-Aug-08
389,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2400,2400,2400,22-Aug-08
163,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,23-Aug-08
592,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,2149,2149,2149,23-Aug-08
162,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,25-Aug-08
161,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,26-Aug-08
388,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2400,2421,2410,26-Aug-08
62,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,2550,2606,2580,27-Aug-08
160,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,27-Aug-08
387,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2000,2950,2350,27-Aug-08
678,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2580,2596,2590,27-Aug-08
749,Belgaum,Nippani,Soyabean,Soyabeen,FAQ,2300,2800,2450,27-Aug-08
61,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,2450,2516,2500,28-Aug-08
159,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,28-Aug-08
386,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2400,2440,2400,28-Aug-08
60,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,2550,2656,2600,29-Aug-08
158,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,29-Aug-08
385,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2400,2480,2400,29-Aug-08
157,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,30-Aug-08
771,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,2000,2000,2000,30-Aug-08
156,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,1-Sep-08
59,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,2500,2581,2531,2-Sep-08
155,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,2-Sep-08
384,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2401,2500,2401,2-Sep-08
677,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2540,2560,2550,2-Sep-08
58,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,2450,2566,2516,4-Sep-08
154,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,4-Sep-08
383,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2399,2450,2400,4-Sep-08
591,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,2309,2309,2309,4-Sep-08
57,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,2480,2606,2516,5-Sep-08
153,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,5-Sep-08
382,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2450,2500,2460,5-Sep-08
152,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,6-Sep-08
381,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2450,2450,2450,6-Sep-08
748,Belgaum,Nippani,Soyabean,Soyabeen,FAQ,2100,2500,2300,6-Sep-08
770,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,2300,2300,2300,6-Sep-08
151,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,8-Sep-08
56,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,2400,2500,2496,9-Sep-08
150,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,9-Sep-08
149,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,10-Sep-08
148,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,11-Sep-08
380,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2450,2450,2450,11-Sep-08
769,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,2350,2350,2350,11-Sep-08
55,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,2400,2496,2450,12-Sep-08
147,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,12-Sep-08
379,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2450,2450,2450,12-Sep-08
378,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2000,2550,2400,13-Sep-08
377,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2450,2450,2450,15-Sep-08
768,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,2400,2400,2400,15-Sep-08
54,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,2130,2207,2190,22-Sep-08
376,Bidar,Basava Kalayana,Soyabean,Other,FAQ,1950,2181,2000,22-Sep-08
53,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,2110,2207,2150,23-Sep-08
555,Dharwad,Dharwar,Soyabean,Other,FAQ,1901,1901,1901,23-Sep-08
767,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,2100,2100,2100,23-Sep-08
52,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,2100,2207,2150,24-Sep-08
146,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,24-Sep-08
375,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2000,2250,2050,24-Sep-08
676,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2280,2300,2290,24-Sep-08
51,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,2050,2108,2100,25-Sep-08
145,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,25-Sep-08
374,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2000,2000,2000,25-Sep-08
50,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,2010,2058,2050,26-Sep-08
144,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,26-Sep-08
49,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,1950,2024,2000,27-Sep-08
143,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,27-Sep-08
373,Bidar,Basava Kalayana,Soyabean,Other,FAQ,1900,2000,1950,27-Sep-08
590,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,1851,1919,1919,27-Sep-08
766,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,2025,2100,2050,27-Sep-08
827,Haveri,Savanur,Soyabean,Other,FAQ,1851,1889,1870,27-Sep-08
142,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,30-Sep-08
589,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,1559,1651,1651,30-Sep-08
745,Belgaum,Nandagada,Soyabean,Soyabeen,FAQ,2060,2060,2060,30-Sep-08
765,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,2100,2100,2100,30-Sep-08
826,Haveri,Savanur,Soyabean,Other,FAQ,1580,1652,1616,30-Sep-08
141,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,1-Oct-08
372,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2700,2800,2700,1-Oct-08
550,Bidar,Bidar,Soyabean,Other,FAQ,1600,1835,1760,1-Oct-08
675,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2075,2090,2080,1-Oct-08
825,Haveri,Savanur,Soyabean,Other,FAQ,1681,1681,1681,1-Oct-08
140,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,3-Oct-08
371,Bidar,Basava Kalayana,Soyabean,Other,FAQ,1661,1750,1700,3-Oct-08
549,Bidar,Bidar,Soyabean,Other,FAQ,1711,1711,1711,3-Oct-08
747,Belgaum,Nippani,Soyabean,Soyabeen,FAQ,2000,2600,2400,3-Oct-08
764,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,1800,2000,1875,3-Oct-08
139,Bangalore,Bangalore,Soyabean,Other,FAQ,3000,3500,3270,4-Oct-08
548,Bidar,Bidar,Soyabean,Other,FAQ,1650,1720,1690,4-Oct-08
763,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,1800,1800,1800,4-Oct-08
824,Haveri,Savanur,Soyabean,Other,FAQ,1668,1668,1668,4-Oct-08
